locus_tag	ftype	length_bp	gene	EC_number	COG	product
FOKLNMHI_00050	CDS	795	rutA	1.14.99.46		Pyrimidine monooxygenase RutA
FOKLNMHI_00051	CDS	897		3.5.1.29		2-(acetamidomethylene)succinate hydrolase
FOKLNMHI_00052	CDS	1104	ino1	5.5.1.4	COG1260	Inositol-3-phosphate synthase
FOKLNMHI_00053	CDS	543				hypothetical protein
FOKLNMHI_00054	CDS	870				putative protein
FOKLNMHI_00055	CDS	435				putative protein
FOKLNMHI_00056	CDS	2463	ponA1		COG0744	Penicillin-binding protein 1A
FOKLNMHI_00057	CDS	1683				hypothetical protein
FOKLNMHI_00058	CDS	639	inhA_1	4.2.1.103		Isonitrile hydratase
FOKLNMHI_00059	CDS	291	rpsF		COG0360	30S ribosomal protein S6
FOKLNMHI_00060	CDS	495	ssb		COG0629	Single-stranded DNA-binding protein
FOKLNMHI_00061	CDS	255	rpsR1_1		COG0238	30S ribosomal protein S18 1
FOKLNMHI_00062	CDS	459	rplI		COG0359	50S ribosomal protein L9
FOKLNMHI_00063	CDS	522				hypothetical protein
FOKLNMHI_00064	CDS	2625	dnaB	3.6.4.12	COG0305	Replicative DNA helicase
FOKLNMHI_00065	CDS	693				hypothetical protein
FOKLNMHI_00066	CDS	1059				hypothetical protein
FOKLNMHI_00067	CDS	339				hypothetical protein
FOKLNMHI_00068	CDS	288				hypothetical protein
FOKLNMHI_00069	CDS	924	cenA	3.2.1.4	COG5297	Endoglucanase A
FOKLNMHI_00070	CDS	1440	yvdP	1.21.-.-	COG0277	putative FAD-linked oxidoreductase YvdP
FOKLNMHI_00071	CDS	156				hypothetical protein
FOKLNMHI_00072	CDS	2940				hypothetical protein
FOKLNMHI_00073	CDS	240				hypothetical protein
FOKLNMHI_00074	CDS	402	vapC9_1	3.1.-.-	COG4113	Ribonuclease VapC9
FOKLNMHI_00075	CDS	2238	icd2	1.1.1.42		Isocitrate dehydrogenase [NADP] 2
FOKLNMHI_00076	CDS	570				hypothetical protein
FOKLNMHI_00077	CDS	912				hypothetical protein
FOKLNMHI_00078	CDS	1386	sdaA	4.3.1.17	COG1760	L-serine dehydratase
FOKLNMHI_00079	CDS	1278	glyA2	2.1.2.1	COG0112	Serine hydroxymethyltransferase 2
FOKLNMHI_00080	CDS	246				hypothetical protein
FOKLNMHI_00081	CDS	252				hypothetical protein
FOKLNMHI_00082	CDS	243				hypothetical protein
FOKLNMHI_00083	CDS	1236	hutI_1	3.5.2.7		Imidazolonepropionase
FOKLNMHI_00084	CDS	1173	metC	4.4.1.13	COG1168	Cystathionine beta-lyase
FOKLNMHI_00085	CDS	390				hypothetical protein
FOKLNMHI_00086	CDS	831	oleB	4.1.1.114	COG0596	Cis-3-alkyl-4-alkyloxetan-2-one decarboxylase
FOKLNMHI_00087	CDS	651				hypothetical protein
FOKLNMHI_00088	CDS	594				hypothetical protein
FOKLNMHI_00089	CDS	207				hypothetical protein
FOKLNMHI_00090	CDS	858				Dormancy associated translation inhibitor
FOKLNMHI_00091	CDS	459				putative protein
FOKLNMHI_00092	CDS	345			COG0640	putative HTH-type transcriptional regulator
FOKLNMHI_00093	CDS	480	hycG		COG3260	Formate hydrogenlyase subunit 7
FOKLNMHI_00094	CDS	1923	hyfB	1.-.-.-	COG0651	Hydrogenase-4 component B
FOKLNMHI_00095	CDS	951	hycD		COG0650	Formate hydrogenlyase subunit 4
FOKLNMHI_00096	CDS	663				hypothetical protein
FOKLNMHI_00097	CDS	1467	ndhB	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
FOKLNMHI_00098	CDS	1476	hyfG	1.-.-.-	COG3261	Hydrogenase-4 component G
FOKLNMHI_00099	CDS	693				putative protein
FOKLNMHI_00100	CDS	594	COQ3_1	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
FOKLNMHI_00101	CDS	771			COG3305	putative protein
FOKLNMHI_00102	CDS	195				hypothetical protein
FOKLNMHI_00103	CDS	768	mtnN	3.2.2.9	COG0775	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
FOKLNMHI_00104	CDS	576				hypothetical protein
FOKLNMHI_00105	CDS	405				hypothetical protein
FOKLNMHI_00106	CDS	711			COG5660	putative protein
FOKLNMHI_00107	CDS	1392				hypothetical protein
FOKLNMHI_00108	CDS	870		1.-.-.-	COG2175	Putative dioxygenase
FOKLNMHI_00109	CDS	552				putative protein
FOKLNMHI_00110	CDS	1599		6.2.1.-	COG0318	Putative fatty-acid--CoA ligase FadD10
FOKLNMHI_00111	CDS	249				putative protein
FOKLNMHI_00112	CDS	486				hypothetical protein
FOKLNMHI_00113	CDS	552				hypothetical protein
FOKLNMHI_00114	CDS	876				hypothetical protein
FOKLNMHI_00115	CDS	732				hypothetical protein
FOKLNMHI_00116	CDS	258				hypothetical protein
FOKLNMHI_00117	CDS	90				hypothetical protein
FOKLNMHI_00118	CDS	327				hypothetical protein
FOKLNMHI_00119	CDS	420	car_1	1.2.1.-	COG1022	Carboxylic acid reductase
FOKLNMHI_00120	CDS	1986			COG3336	putative protein
FOKLNMHI_00121	CDS	225				hypothetical protein
FOKLNMHI_00122	CDS	306				hypothetical protein
FOKLNMHI_00123	CDS	585				hypothetical protein
FOKLNMHI_00124	CDS	1515				hypothetical protein
FOKLNMHI_00125	CDS	285				hypothetical protein
FOKLNMHI_00126	CDS	1197			COG0523	putative protein
FOKLNMHI_00127	CDS	4899	ctpI_1	3.6.3.-	COG0474	putative cation-transporting ATPase I
FOKLNMHI_00128	CDS	273				hypothetical protein
FOKLNMHI_00129	CDS	1602				hypothetical protein
FOKLNMHI_00130	CDS	855	glpG	3.4.21.105		Rhomboid protease GlpG
FOKLNMHI_00131	CDS	2058				hypothetical protein
FOKLNMHI_00132	CDS	957	rmd	1.1.1.281		GDP-6-deoxy-D-mannose reductase
FOKLNMHI_00133	CDS	624	gmhA	5.3.1.28	COG0279	Phosphoheptose isomerase
FOKLNMHI_00134	CDS	654	hisB_1	3.1.3.15		Histidine biosynthesis bifunctional protein HisB
FOKLNMHI_00135	CDS	1161	hddA	2.7.1.168		D-glycero-alpha-D-manno-heptose 7-phosphate kinase
FOKLNMHI_00136	CDS	189				hypothetical protein
FOKLNMHI_00137	CDS	756	ldtA	2.3.2.-	COG1376	L,D-transpeptidase 1
FOKLNMHI_00138	CDS	945	oxyR			putative hydrogen peroxide-inducible genes activator
FOKLNMHI_00139	CDS	1749	oxc	4.1.1.8	COG0028	Oxalyl-CoA decarboxylase
FOKLNMHI_00140	CDS	1629	sauT	6.2.1.-	COG0318	putative sulfoacetate--CoA ligase
FOKLNMHI_00141	CDS	2145			COG0480	Elongation factor G-like protein
FOKLNMHI_00142	CDS	435				hypothetical protein
FOKLNMHI_00143	CDS	183				hypothetical protein
FOKLNMHI_00144	CDS	369				hypothetical protein
FOKLNMHI_00145	CDS	531				hypothetical protein
FOKLNMHI_00146	CDS	1068				hypothetical protein
FOKLNMHI_00147	CDS	210				hypothetical protein
FOKLNMHI_00148	CDS	672				hypothetical protein
FOKLNMHI_00149	CDS	1179	mak	2.7.1.175	COG3281	Maltokinase
FOKLNMHI_00150	CDS	780				hypothetical protein
FOKLNMHI_00151	CDS	1023	fbpC	2.3.1.122	COG0627	Diacylglycerol acyltransferase/mycolyltransferase Ag85C
FOKLNMHI_00152	CDS	456		4.2.1.17	COG2030	putative enoyl-CoA hydratase 1
FOKLNMHI_00153	CDS	1344	bbsG	1.3.8.3		(R)-benzylsuccinyl-CoA dehydrogenase
FOKLNMHI_00154	CDS	1083	fgd2	1.1.98.-	COG2141	F420-dependent hydroxymycolic acid dehydrogenase
FOKLNMHI_00155	CDS	606				hypothetical protein
FOKLNMHI_00156	CDS	903		3.3.2.10		Soluble epoxide hydrolase
FOKLNMHI_00157	CDS	606				hypothetical protein
FOKLNMHI_00158	CDS	1326		1.14.-.-	COG2124	Putative cytochrome P450 138
FOKLNMHI_00159	CDS	549	msrA	1.8.4.11	COG0225	Peptide methionine sulfoxide reductase MsrA
FOKLNMHI_00160	CDS	504				hypothetical protein
FOKLNMHI_00161	CDS	1023	auaH	1.1.1.394		Aurachin B dehydrogenase
FOKLNMHI_00162	CDS	381				hypothetical protein
FOKLNMHI_00163	CDS	411				hypothetical protein
FOKLNMHI_00164	CDS	927				hypothetical protein
FOKLNMHI_00165	CDS	1479	clcB			Voltage-gated ClC-type chloride channel ClcB
FOKLNMHI_00166	CDS	843				hypothetical protein
FOKLNMHI_00167	CDS	954		2.1.1.-	COG3315	Putative S-adenosyl-L-methionine-dependent methyltransferase
FOKLNMHI_00168	CDS	933		2.1.1.-	COG3315	Putative S-adenosyl-L-methionine-dependent methyltransferase
FOKLNMHI_00169	CDS	1521	aldH1	1.2.1.-	COG1012	4,4'-diaponeurosporen-aldehyde dehydrogenase
FOKLNMHI_00170	CDS	861		1.1.1.-	COG1028	Putative short-chain type dehydrogenase/reductase
FOKLNMHI_00171	CDS	969		1.3.1.103		2-haloacrylate reductase
FOKLNMHI_00172	CDS	288				hypothetical protein
FOKLNMHI_00173	CDS	1767				hypothetical protein
FOKLNMHI_00174	CDS	1473				hypothetical protein
FOKLNMHI_00175	CDS	225				putative PE-PGRS family protein PE_PGRS24
FOKLNMHI_00176	CDS	831				hypothetical protein
FOKLNMHI_00177	CDS	1212	caiA_1	1.3.8.13		Crotonobetainyl-CoA reductase
FOKLNMHI_00178	CDS	1101	pntAA	7.1.1.1	COG3288	NAD(P) transhydrogenase subunit alpha part 1
FOKLNMHI_00179	CDS	333				hypothetical protein
FOKLNMHI_00180	CDS	1428	pntB	7.1.1.1	COG1282	NAD(P) transhydrogenase subunit beta
FOKLNMHI_00181	CDS	126				hypothetical protein
FOKLNMHI_00182	CDS	645	kstR2_1			HTH-type transcriptional repressor KstR2
FOKLNMHI_00183	CDS	1407	PE3_1			PE family protein PE3
FOKLNMHI_00184	CDS	1566	PE3_2			PE family protein PE3
FOKLNMHI_00185	CDS	1374		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
FOKLNMHI_00186	CDS	1119	adhB_1	1.1.1.1	COG1062	Alcohol dehydrogenase B
FOKLNMHI_00187	CDS	456				hypothetical protein
FOKLNMHI_00188	CDS	441				hypothetical protein
FOKLNMHI_00189	CDS	795				hypothetical protein
FOKLNMHI_00190	CDS	1665		6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase FadD13
FOKLNMHI_00191	CDS	1593				hypothetical protein
FOKLNMHI_00192	CDS	1173	lprN_1			Lipoprotein LprN
FOKLNMHI_00193	CDS	1548				hypothetical protein
FOKLNMHI_00194	CDS	492				hypothetical protein
FOKLNMHI_00195	CDS	969				hypothetical protein
FOKLNMHI_00196	CDS	555				hypothetical protein
FOKLNMHI_00197	CDS	1641				hypothetical protein
FOKLNMHI_00198	CDS	1281				hypothetical protein
FOKLNMHI_00199	CDS	735		1.13.11.24	COG1741	Putative quercetin 2,3-dioxygenase
FOKLNMHI_00200	CDS	999	sigG		COG1595	ECF RNA polymerase sigma factor SigG
FOKLNMHI_00201	CDS	897		3.1.1.23	COG2267	Monoacylglycerol lipase
FOKLNMHI_00202	CDS	750				hypothetical protein
FOKLNMHI_00203	CDS	510				hypothetical protein
FOKLNMHI_00204	CDS	2076	bglB	3.2.1.21	COG1472	Thermostable beta-glucosidase B
FOKLNMHI_00205	CDS	147	mymT			Metallothionein
FOKLNMHI_00206	CDS	657		2.1.1.6	COG4122	Catechol O-methyltransferase
FOKLNMHI_00207	CDS	432				hypothetical protein
FOKLNMHI_00208	CDS	1728	ilvD	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
FOKLNMHI_00209	CDS	291	ricR		COG1937	Copper-sensing transcriptional repressor RicR
FOKLNMHI_00210	CDS	1242			COG2814	Chloramphenicol efflux pump
FOKLNMHI_00211	CDS	1101		2.3.2.-	COG1376	L,D-transpeptidase 4
FOKLNMHI_00212	CDS	1848				hypothetical protein
FOKLNMHI_00213	CDS	120				hypothetical protein
FOKLNMHI_00214	CDS	3585		3.6.3.-	COG1132	Multidrug efflux ATP-binding/permease protein
FOKLNMHI_00215	CDS	300				hypothetical protein
FOKLNMHI_00216	CDS	768				hypothetical protein
FOKLNMHI_00217	CDS	585			COG1309	putative HTH-type transcriptional regulator
FOKLNMHI_00218	CDS	2247	napA	1.9.6.1		Periplasmic nitrate reductase
FOKLNMHI_00219	CDS	1992	pepO	3.4.24.-	COG3590	Neutral endopeptidase
FOKLNMHI_00220	CDS	660				hypothetical protein
FOKLNMHI_00221	CDS	690				hypothetical protein
FOKLNMHI_00222	CDS	504				hypothetical protein
FOKLNMHI_00223	CDS	2898			COG2409	Heme uptake protein MmpL11
FOKLNMHI_00224	CDS	411				Heme-binding protein
FOKLNMHI_00225	CDS	1284				hypothetical protein
FOKLNMHI_00226	CDS	1104			COG0628	Putative transport protein
FOKLNMHI_00227	CDS	2835	mmpL3_1		COG2409	Trehalose monomycolate exporter MmpL3
FOKLNMHI_00228	CDS	735				hypothetical protein
FOKLNMHI_00229	CDS	861	trmB	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
FOKLNMHI_00230	CDS	1086				hypothetical protein
FOKLNMHI_00231	CDS	1479				hypothetical protein
FOKLNMHI_00232	CDS	405				hypothetical protein
FOKLNMHI_00233	CDS	609				hypothetical protein
FOKLNMHI_00234	CDS	972	nadR		COG1056	Trifunctional NAD biosynthesis/regulator protein NadR
FOKLNMHI_00235	CDS	1434				hypothetical protein
FOKLNMHI_00236	CDS	1518		6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase FadD13
FOKLNMHI_00237	CDS	1074	mcd	1.3.8.12	COG1960	(2S)-methylsuccinyl-CoA dehydrogenase
FOKLNMHI_00238	CDS	1014	mch	4.2.1.148	COG2030	Beta-methylmalyl-CoA dehydratase
FOKLNMHI_00239	CDS	909	aes_1	3.1.1.-		Acetyl esterase
FOKLNMHI_00240	CDS	1329				hypothetical protein
FOKLNMHI_00241	CDS	549				hypothetical protein
FOKLNMHI_00242	CDS	1212				hypothetical protein
FOKLNMHI_00243	CDS	1410		2.3.1.20		Putative diacyglycerol O-acyltransferase
FOKLNMHI_00244	CDS	789	caiD_1	4.2.1.149		Carnitinyl-CoA dehydratase
FOKLNMHI_00245	CDS	1341	geoB	1.2.1.86		Geranial dehydrogenase
FOKLNMHI_00246	CDS	765		2.1.1.-		putative methyltransferase
FOKLNMHI_00247	CDS	1155	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
FOKLNMHI_00248	CDS	1731				hypothetical protein
FOKLNMHI_00249	CDS	1266	porA			Porin PorA
FOKLNMHI_00250	CDS	1299				hypothetical protein
FOKLNMHI_00251	CDS	195				Putative antitoxin VapB51
FOKLNMHI_00252	CDS	981	php		COG1735	Phosphotriesterase homology protein
FOKLNMHI_00253	CDS	1707				hypothetical protein
FOKLNMHI_00254	CDS	690				hypothetical protein
FOKLNMHI_00255	CDS	183				hypothetical protein
FOKLNMHI_00256	CDS	480				hypothetical protein
FOKLNMHI_00257	CDS	1449				hypothetical protein
FOKLNMHI_00258	CDS	4203	aftD	2.4.2.47		Alpha-(1->3)-arabinofuranosyltransferase
FOKLNMHI_00259	CDS	174				Putative secreted protein.1
FOKLNMHI_00260	CDS	1167	lpqI	3.2.1.52	COG1472	Beta-hexosaminidase LpqI
FOKLNMHI_00261	CDS	567				hypothetical protein
FOKLNMHI_00262	CDS	234				hypothetical protein
FOKLNMHI_00263	CDS	438		3.1.-.-	COG1848	Ribonuclease VapC24
FOKLNMHI_00264	CDS	843				hypothetical protein
FOKLNMHI_00265	CDS	1365	hcaB_1	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
FOKLNMHI_00266	CDS	1323	fadI	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase FadI
FOKLNMHI_00267	CDS	1836		1.3.8.1	COG1960	Butyryl-CoA dehydrogenase
FOKLNMHI_00268	CDS	489		1.5.1.37		Flavin reductase
FOKLNMHI_00269	CDS	1350				hypothetical protein
FOKLNMHI_00270	CDS	747	frdB_1	1.3.5.1	COG0479	Fumarate reductase iron-sulfur subunit
FOKLNMHI_00271	CDS	1941	sdhA_1	1.3.5.1	COG1053	Succinate dehydrogenase flavoprotein subunit
FOKLNMHI_00272	CDS	822				hypothetical protein
FOKLNMHI_00273	CDS	294				putative protein
FOKLNMHI_00274	CDS	480				hypothetical protein
FOKLNMHI_00275	CDS	2616	nasD	1.7.1.4	COG1251	Nitrite reductase [NAD(P)H]
FOKLNMHI_00276	CDS	357	nirD	1.7.1.15	COG2146	Nitrite reductase (NADH) small subunit
FOKLNMHI_00277	CDS	525	cobU	2.7.1.156	COG2087	Bifunctional adenosylcobalamin biosynthesis protein CobU
FOKLNMHI_00278	CDS	2577	cobQ			Cobyric acid synthase
FOKLNMHI_00279	CDS	456				hypothetical protein
FOKLNMHI_00280	CDS	744				hypothetical protein
FOKLNMHI_00281	CDS	1146				hypothetical protein
FOKLNMHI_00282	CDS	1410	narK_1		COG2223	Nitrate/nitrite transporter NarK
FOKLNMHI_00283	CDS	546	aac	2.3.1.-		Aminoglycoside 2'-N-acetyltransferase
FOKLNMHI_00284	CDS	903	pxpC	3.5.2.9	COG1984	5-oxoprolinase subunit C
FOKLNMHI_00285	CDS	654	pxpB	3.5.2.9	COG2049	5-oxoprolinase subunit B
FOKLNMHI_00286	CDS	993				hypothetical protein
FOKLNMHI_00287	CDS	3630				hypothetical protein
FOKLNMHI_00288	CDS	1392	narK_2		COG2223	Nitrate/nitrite transporter NarK
FOKLNMHI_00289	CDS	258				hypothetical protein
FOKLNMHI_00290	CDS	126				hypothetical protein
FOKLNMHI_00291	CDS	1194				hypothetical protein
FOKLNMHI_00292	CDS	1683	lcfB_1	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
FOKLNMHI_00293	CDS	2196		1.3.99.-		Acyl-CoA dehydrogenase FadE34
FOKLNMHI_00294	CDS	1134				hypothetical protein
FOKLNMHI_00295	CDS	621				hypothetical protein
FOKLNMHI_00296	CDS	582				hypothetical protein
FOKLNMHI_00297	CDS	735				hypothetical protein
FOKLNMHI_00298	CDS	921			COG3662	putative protein
FOKLNMHI_00299	CDS	129				hypothetical protein
FOKLNMHI_00300	CDS	945	PPE3		COG5651	putative PPE family protein PPE3
FOKLNMHI_00301	CDS	909		2.1.1.-	COG3315	Putative S-adenosyl-L-methionine-dependent methyltransferase
FOKLNMHI_00302	CDS	1896	eccA3		COG0464	ESX-3 secretion system protein EccA3
FOKLNMHI_00303	CDS	1617	eccB3_1	3.6.-.-		ESX-3 secretion system ATPase EccB3
FOKLNMHI_00304	CDS	261				hypothetical protein
FOKLNMHI_00305	CDS	387				hypothetical protein
FOKLNMHI_00306	CDS	393				hypothetical protein
FOKLNMHI_00307	CDS	219				hypothetical protein
FOKLNMHI_00308	CDS	240				hypothetical protein
FOKLNMHI_00309	CDS	480				hypothetical protein
FOKLNMHI_00310	CDS	438				hypothetical protein
FOKLNMHI_00311	CDS	1011	PPE4_1		COG5651	PPE family protein PPE4
FOKLNMHI_00312	CDS	294	esxG			ESAT-6-like protein EsxG
FOKLNMHI_00313	CDS	360	esxH		COG4842	ESAT-6-like protein EsxH
FOKLNMHI_00314	CDS	888	espG3			ESX-3 secretion-associated protein EspG3
FOKLNMHI_00315	CDS	1419	eccD3			ESX-3 secretion system protein EccD3
FOKLNMHI_00316	CDS	1386	mycP3	3.4.21.-	COG1404	Mycosin-3
FOKLNMHI_00317	CDS	996	eccE3			ESX-3 secretion system protein EccE3
FOKLNMHI_00318	CDS	1212				hypothetical protein
FOKLNMHI_00319	CDS	786	tam	2.1.1.144	COG4106	putative trans-aconitate 2-methyltransferase
FOKLNMHI_00320	CDS	804	stf0	2.8.2.37	COG4424	Trehalose 2-sulfotransferase
FOKLNMHI_00321	CDS	1398		3.1.6.-		Ulvan-active sulfatase
FOKLNMHI_00322	CDS	207				hypothetical protein
FOKLNMHI_00323	CDS	228				Antitoxin
FOKLNMHI_00324	CDS	303				Toxin
FOKLNMHI_00325	CDS	222	vapB2			Antitoxin VapB2
FOKLNMHI_00326	CDS	426	vapC2	3.1.-.-	COG1487	Ribonuclease VapC2
FOKLNMHI_00327	CDS	633				hypothetical protein
FOKLNMHI_00328	CDS	909				hypothetical protein
FOKLNMHI_00329	CDS	177				hypothetical protein
FOKLNMHI_00330	CDS	294				hypothetical protein
FOKLNMHI_00331	CDS	156				hypothetical protein
FOKLNMHI_00332	CDS	726	bluB	1.13.11.79	COG0778	5,6-dimethylbenzimidazole synthase
FOKLNMHI_00333	CDS	483				hypothetical protein
FOKLNMHI_00334	CDS	717				hypothetical protein
FOKLNMHI_00335	CDS	711				hypothetical protein
FOKLNMHI_00336	CDS	492	baiE	4.2.1.106		Bile acid 7-alpha dehydratase
FOKLNMHI_00337	CDS	1230				hypothetical protein
FOKLNMHI_00338	CDS	1863				hypothetical protein
FOKLNMHI_00339	CDS	387				putative protein
FOKLNMHI_00340	CDS	663				hypothetical protein
FOKLNMHI_00341	CDS	855				hypothetical protein
FOKLNMHI_00342	CDS	615				hypothetical protein
FOKLNMHI_00343	CDS	738	ugpQ	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase, cytoplasmic
FOKLNMHI_00344	CDS	150				hypothetical protein
FOKLNMHI_00345	tRNA	73				tRNA-Gly(ccc)
FOKLNMHI_00346	CDS	777				hypothetical protein
FOKLNMHI_00347	CDS	669	pcp	3.4.19.3	COG2039	Pyrrolidone-carboxylate peptidase
FOKLNMHI_00348	CDS	588				hypothetical protein
FOKLNMHI_00349	CDS	573	dcd	3.5.4.30	COG0717	dCTP deaminase, dUMP-forming
FOKLNMHI_00350	CDS	1656	rkpK	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase
FOKLNMHI_00351	CDS	363				hypothetical protein
FOKLNMHI_00352	CDS	681				hypothetical protein
FOKLNMHI_00353	CDS	225				hypothetical protein
FOKLNMHI_00354	CDS	456				hypothetical protein
FOKLNMHI_00355	CDS	1350		1.14.-.-	COG2124	Putative cytochrome P450 135A1
FOKLNMHI_00356	CDS	603	betI_1			HTH-type transcriptional regulator BetI
FOKLNMHI_00357	CDS	627				hypothetical protein
FOKLNMHI_00358	CDS	741				hypothetical protein
FOKLNMHI_00359	CDS	1167				hypothetical protein
FOKLNMHI_00360	CDS	786				hypothetical protein
FOKLNMHI_00361	CDS	435				hypothetical protein
FOKLNMHI_00362	CDS	867	rmlA	2.7.7.24	COG1209	Glucose-1-phosphate thymidylyltransferase
FOKLNMHI_00363	CDS	612				hypothetical protein
FOKLNMHI_00364	CDS	1290	aspC_1	2.6.1.1	COG0436	putative aspartate aminotransferase
FOKLNMHI_00365	CDS	2649				hypothetical protein
FOKLNMHI_00366	CDS	2499				hypothetical protein
FOKLNMHI_00367	CDS	540				hypothetical protein
FOKLNMHI_00368	CDS	1440	iniB			Isoniazid-induced protein IniB
FOKLNMHI_00369	CDS	1923	iniA		COG0699	Isoniazid-induced protein IniA
FOKLNMHI_00370	CDS	1482	iniC		COG0699	Isoniazid-induced protein IniC
FOKLNMHI_00371	CDS	561				hypothetical protein
FOKLNMHI_00372	CDS	417				hypothetical protein
FOKLNMHI_00373	CDS	1464	ansP2		COG1113	L-asparagine permease 2
FOKLNMHI_00374	CDS	171				hypothetical protein
FOKLNMHI_00375	CDS	813				hypothetical protein
FOKLNMHI_00376	CDS	654				hypothetical protein
FOKLNMHI_00377	CDS	660				hypothetical protein
FOKLNMHI_00378	CDS	1878	dnaK_1		COG0443	Chaperone protein DnaK
FOKLNMHI_00379	CDS	708	grpE		COG0576	Protein GrpE
FOKLNMHI_00380	CDS	1188	dnaJ1		COG0484	Chaperone protein DnaJ 1
FOKLNMHI_00381	CDS	105				hypothetical protein
FOKLNMHI_00382	CDS	426				hypothetical protein
FOKLNMHI_00383	CDS	453				hypothetical protein
FOKLNMHI_00384	CDS	279				hypothetical protein
FOKLNMHI_00385	CDS	513				hypothetical protein
FOKLNMHI_00386	CDS	207				hypothetical protein
FOKLNMHI_00387	CDS	372				hypothetical protein
FOKLNMHI_00388	CDS	138				hypothetical protein
