locus_tag	ftype	length_bp	gene	EC_number	COG	product
JACLCCHO_00183	CDS	126				hypothetical protein
JACLCCHO_00184	CDS	645	kstR2_1			HTH-type transcriptional repressor KstR2
JACLCCHO_00185	CDS	1407	PE3_1			PE family protein PE3
JACLCCHO_00186	CDS	1566	PE3_2			PE family protein PE3
JACLCCHO_00187	CDS	1374		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
JACLCCHO_00188	CDS	1119	adhB_1	1.1.1.1	COG1062	Alcohol dehydrogenase B
JACLCCHO_00189	CDS	456				hypothetical protein
JACLCCHO_00190	CDS	441				hypothetical protein
JACLCCHO_00191	CDS	795				hypothetical protein
JACLCCHO_00192	CDS	1665		6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase FadD13
JACLCCHO_00193	CDS	1593				hypothetical protein
JACLCCHO_00194	CDS	1173	lprN_1			Lipoprotein LprN
JACLCCHO_00195	CDS	1548				hypothetical protein
JACLCCHO_00196	CDS	492				hypothetical protein
JACLCCHO_00197	CDS	969				hypothetical protein
JACLCCHO_00198	CDS	555				hypothetical protein
JACLCCHO_00199	CDS	735				hypothetical protein
JACLCCHO_00200	CDS	1110				hypothetical protein
JACLCCHO_00201	CDS	1281				hypothetical protein
JACLCCHO_00202	CDS	603		1.13.11.24	COG1741	Putative quercetin 2,3-dioxygenase
JACLCCHO_00203	CDS	999	sigG		COG1595	ECF RNA polymerase sigma factor SigG
JACLCCHO_00204	CDS	897		3.1.1.23	COG2267	Monoacylglycerol lipase
JACLCCHO_00205	CDS	750				hypothetical protein
JACLCCHO_00206	CDS	510				hypothetical protein
JACLCCHO_00207	CDS	2076	bglB	3.2.1.21	COG1472	Thermostable beta-glucosidase B
JACLCCHO_00208	CDS	147	mymT			Metallothionein
JACLCCHO_00209	CDS	657		2.1.1.6	COG4122	Catechol O-methyltransferase
JACLCCHO_00210	CDS	432				hypothetical protein
JACLCCHO_00211	CDS	1926	ilvD	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
JACLCCHO_00212	CDS	291	ricR		COG1937	Copper-sensing transcriptional repressor RicR
JACLCCHO_00213	CDS	1242			COG2814	Chloramphenicol efflux pump
JACLCCHO_00214	CDS	303				hypothetical protein
JACLCCHO_00215	CDS	765		2.3.2.-	COG1376	L,D-transpeptidase 4
JACLCCHO_00216	CDS	1848				hypothetical protein
JACLCCHO_00217	CDS	120				hypothetical protein
JACLCCHO_00218	CDS	3585		3.6.3.-	COG1132	Multidrug efflux ATP-binding/permease protein
JACLCCHO_00219	CDS	300				hypothetical protein
JACLCCHO_00220	CDS	768				hypothetical protein
JACLCCHO_00221	CDS	585			COG1309	putative HTH-type transcriptional regulator
JACLCCHO_00222	CDS	2247	napA	1.9.6.1		Periplasmic nitrate reductase
JACLCCHO_00223	CDS	1992	pepO	3.4.24.-	COG3590	Neutral endopeptidase
JACLCCHO_00224	CDS	660				hypothetical protein
JACLCCHO_00225	CDS	690				hypothetical protein
JACLCCHO_00226	CDS	504				hypothetical protein
JACLCCHO_00227	CDS	2898			COG2409	Heme uptake protein MmpL11
JACLCCHO_00228	CDS	411				Heme-binding protein
JACLCCHO_00229	CDS	1284				hypothetical protein
JACLCCHO_00230	CDS	1104			COG0628	Putative transport protein
JACLCCHO_00231	CDS	2835	mmpL3_1		COG2409	Trehalose monomycolate exporter MmpL3
JACLCCHO_00232	CDS	735				hypothetical protein
JACLCCHO_00233	CDS	834	trmB	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
JACLCCHO_00234	CDS	1086				hypothetical protein
JACLCCHO_00235	CDS	1479				hypothetical protein
JACLCCHO_00236	CDS	405				hypothetical protein
JACLCCHO_00237	CDS	609				hypothetical protein
JACLCCHO_00238	CDS	972	nadR		COG1056	Trifunctional NAD biosynthesis/regulator protein NadR
JACLCCHO_00239	CDS	1317				hypothetical protein
JACLCCHO_00240	CDS	1518		6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase FadD13
JACLCCHO_00241	CDS	1074	mcd	1.3.8.12	COG1960	(2S)-methylsuccinyl-CoA dehydrogenase
JACLCCHO_00242	CDS	1014	mch	4.2.1.148	COG2030	Beta-methylmalyl-CoA dehydratase
JACLCCHO_00243	CDS	909	aes_1	3.1.1.-		Acetyl esterase
JACLCCHO_00244	CDS	1329				hypothetical protein
JACLCCHO_00245	CDS	549				hypothetical protein
JACLCCHO_00246	CDS	1212				hypothetical protein
JACLCCHO_00247	CDS	1410		2.3.1.20		Putative diacyglycerol O-acyltransferase
JACLCCHO_00248	CDS	789	caiD_1	4.2.1.149		Carnitinyl-CoA dehydratase
JACLCCHO_00249	CDS	1341	geoB	1.2.1.86		Geranial dehydrogenase
JACLCCHO_00250	CDS	765		2.1.1.-		putative methyltransferase
JACLCCHO_00251	CDS	1155	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
JACLCCHO_00252	CDS	1731				hypothetical protein
JACLCCHO_00253	CDS	1266	porA			Porin PorA
JACLCCHO_00254	CDS	1413				hypothetical protein
JACLCCHO_00255	CDS	195				Putative antitoxin VapB51
JACLCCHO_00256	CDS	981	php		COG1735	Phosphotriesterase homology protein
JACLCCHO_00257	CDS	1707				hypothetical protein
JACLCCHO_00258	CDS	690				hypothetical protein
JACLCCHO_00259	CDS	228				hypothetical protein
JACLCCHO_00260	CDS	480				hypothetical protein
JACLCCHO_00261	CDS	1449				hypothetical protein
JACLCCHO_00262	CDS	4212	aftD	2.4.2.47		Alpha-(1->3)-arabinofuranosyltransferase
JACLCCHO_00263	CDS	174				Putative secreted protein.1
JACLCCHO_00264	CDS	1167	lpqI	3.2.1.52	COG1472	Beta-hexosaminidase LpqI
JACLCCHO_00265	CDS	567				hypothetical protein
JACLCCHO_00266	CDS	234				hypothetical protein
JACLCCHO_00267	CDS	438		3.1.-.-	COG1848	Ribonuclease VapC24
JACLCCHO_00268	CDS	843				hypothetical protein
JACLCCHO_00269	CDS	1365				hypothetical protein
JACLCCHO_00270	CDS	1323	fadI	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase FadI
JACLCCHO_00271	CDS	1836		1.3.8.1	COG1960	Butyryl-CoA dehydrogenase
JACLCCHO_00272	CDS	489		1.5.1.37		Flavin reductase
JACLCCHO_00273	CDS	1350				hypothetical protein
JACLCCHO_00274	CDS	747	frdB_1	1.3.5.1	COG0479	Fumarate reductase iron-sulfur subunit
JACLCCHO_00275	CDS	1941	sdhA_1	1.3.5.1	COG1053	Succinate dehydrogenase flavoprotein subunit
JACLCCHO_00276	CDS	822				hypothetical protein
JACLCCHO_00277	CDS	294				putative protein
JACLCCHO_00278	CDS	480				hypothetical protein
JACLCCHO_00279	CDS	2616	nasD	1.7.1.4	COG1251	Nitrite reductase [NAD(P)H]
JACLCCHO_00280	CDS	456				hypothetical protein
JACLCCHO_00281	CDS	525	cobU	2.7.1.156	COG2087	Bifunctional adenosylcobalamin biosynthesis protein CobU
JACLCCHO_00282	CDS	2577	cobQ			Cobyric acid synthase
JACLCCHO_00283	CDS	456				hypothetical protein
JACLCCHO_00284	CDS	744				hypothetical protein
JACLCCHO_00285	CDS	1146				hypothetical protein
JACLCCHO_00286	CDS	1500	narK_1		COG2223	Nitrate/nitrite transporter NarK
JACLCCHO_00287	CDS	546	aac	2.3.1.-		Aminoglycoside 2'-N-acetyltransferase
JACLCCHO_00288	CDS	903	pxpC	3.5.2.9	COG1984	5-oxoprolinase subunit C
JACLCCHO_00289	CDS	654	pxpB	3.5.2.9	COG2049	5-oxoprolinase subunit B
JACLCCHO_00290	CDS	993				hypothetical protein
JACLCCHO_00291	CDS	3630				hypothetical protein
JACLCCHO_00292	CDS	1392	narK_2		COG2223	Nitrate/nitrite transporter NarK
JACLCCHO_00293	CDS	258				hypothetical protein
JACLCCHO_00294	CDS	126				hypothetical protein
JACLCCHO_00295	CDS	1194				hypothetical protein
JACLCCHO_00296	CDS	1683	lcfB_1	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
JACLCCHO_00297	CDS	2238		1.3.99.-		Acyl-CoA dehydrogenase FadE34
JACLCCHO_00298	CDS	1134				hypothetical protein
JACLCCHO_00299	CDS	621				hypothetical protein
JACLCCHO_00300	CDS	582				hypothetical protein
JACLCCHO_00301	CDS	735				hypothetical protein
JACLCCHO_00302	CDS	921			COG3662	putative protein
JACLCCHO_00303	CDS	129				hypothetical protein
JACLCCHO_00304	CDS	945	PPE3		COG5651	putative PPE family protein PPE3
JACLCCHO_00305	CDS	909		2.1.1.-	COG3315	Putative S-adenosyl-L-methionine-dependent methyltransferase
JACLCCHO_00306	CDS	1896	eccA3		COG0464	ESX-3 secretion system protein EccA3
JACLCCHO_00307	CDS	1617	eccB3_1	3.6.-.-		ESX-3 secretion system ATPase EccB3
JACLCCHO_00308	CDS	261				hypothetical protein
JACLCCHO_00309	CDS	387				hypothetical protein
JACLCCHO_00310	CDS	393				hypothetical protein
JACLCCHO_00311	CDS	219				hypothetical protein
JACLCCHO_00312	CDS	396				hypothetical protein
JACLCCHO_00313	CDS	240				hypothetical protein
JACLCCHO_00314	CDS	480				hypothetical protein
JACLCCHO_00315	CDS	438				hypothetical protein
JACLCCHO_00316	CDS	1011	PPE4_1		COG5651	PPE family protein PPE4
JACLCCHO_00317	CDS	294	esxG			ESAT-6-like protein EsxG
JACLCCHO_00318	CDS	291	esxH		COG4842	ESAT-6-like protein EsxH
JACLCCHO_00319	CDS	888	espG3			ESX-3 secretion-associated protein EspG3
JACLCCHO_00320	CDS	1419	eccD3			ESX-3 secretion system protein EccD3
JACLCCHO_00321	CDS	1386	mycP3	3.4.21.-	COG1404	Mycosin-3
JACLCCHO_00322	CDS	996	eccE3			ESX-3 secretion system protein EccE3
JACLCCHO_00323	CDS	1212				hypothetical protein
JACLCCHO_00324	CDS	786	tam	2.1.1.144	COG4106	putative trans-aconitate 2-methyltransferase
JACLCCHO_00325	CDS	804	stf0	2.8.2.37	COG4424	Trehalose 2-sulfotransferase
JACLCCHO_00326	CDS	1398		3.1.6.-		Ulvan-active sulfatase
JACLCCHO_00327	CDS	207				hypothetical protein
JACLCCHO_00328	CDS	228				Antitoxin
JACLCCHO_00329	CDS	303				Toxin
JACLCCHO_00330	CDS	222	vapB2			Antitoxin VapB2
JACLCCHO_00331	CDS	426	vapC2	3.1.-.-	COG1487	Ribonuclease VapC2
JACLCCHO_00332	CDS	633				hypothetical protein
JACLCCHO_00333	CDS	909				hypothetical protein
JACLCCHO_00334	CDS	177				hypothetical protein
JACLCCHO_00335	CDS	294				hypothetical protein
JACLCCHO_00336	CDS	156				hypothetical protein
JACLCCHO_00337	CDS	726	bluB	1.13.11.79	COG0778	5,6-dimethylbenzimidazole synthase
JACLCCHO_00338	CDS	483				hypothetical protein
JACLCCHO_00339	CDS	717				hypothetical protein
JACLCCHO_00340	CDS	657				hypothetical protein
JACLCCHO_00341	CDS	492	baiE	4.2.1.106		Bile acid 7-alpha dehydratase
JACLCCHO_00342	CDS	1230				hypothetical protein
JACLCCHO_00343	CDS	1863				hypothetical protein
JACLCCHO_00344	CDS	387				putative protein
JACLCCHO_00345	CDS	663				hypothetical protein
JACLCCHO_00346	CDS	855				hypothetical protein
JACLCCHO_00347	CDS	615				hypothetical protein
JACLCCHO_00348	CDS	738	ugpQ	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase, cytoplasmic
JACLCCHO_00349	CDS	150				hypothetical protein
JACLCCHO_00350	tRNA	73				tRNA-Gly(ccc)
JACLCCHO_00351	CDS	777				hypothetical protein
JACLCCHO_00352	CDS	669	pcp	3.4.19.3	COG2039	Pyrrolidone-carboxylate peptidase
JACLCCHO_00353	CDS	588				hypothetical protein
JACLCCHO_00354	CDS	573	dcd	3.5.4.30	COG0717	dCTP deaminase, dUMP-forming
JACLCCHO_00355	CDS	1656	rkpK	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase
JACLCCHO_00356	CDS	363				hypothetical protein
JACLCCHO_00357	CDS	681				hypothetical protein
JACLCCHO_00358	CDS	225				hypothetical protein
JACLCCHO_00359	CDS	456				hypothetical protein
JACLCCHO_00360	CDS	1350		1.14.-.-	COG2124	Putative cytochrome P450 135A1
JACLCCHO_00361	CDS	603	betI_1			HTH-type transcriptional regulator BetI
JACLCCHO_00362	CDS	627				hypothetical protein
JACLCCHO_00363	CDS	741				hypothetical protein
JACLCCHO_00364	CDS	1167		1.6.99.-	COG1252	NADH dehydrogenase-like protein
JACLCCHO_00365	CDS	786				hypothetical protein
JACLCCHO_00366	CDS	435				hypothetical protein
JACLCCHO_00367	CDS	867	rmlA	2.7.7.24	COG1209	Glucose-1-phosphate thymidylyltransferase
JACLCCHO_00368	CDS	612				hypothetical protein
JACLCCHO_00369	CDS	1290	aspC_1	2.6.1.1	COG0436	putative aspartate aminotransferase
JACLCCHO_00370	CDS	2649				hypothetical protein
JACLCCHO_00371	CDS	2499				hypothetical protein
JACLCCHO_00372	CDS	540				hypothetical protein
JACLCCHO_00373	CDS	1440	iniB			Isoniazid-induced protein IniB
JACLCCHO_00374	CDS	1923	iniA		COG0699	Isoniazid-induced protein IniA
JACLCCHO_00375	CDS	1482	iniC		COG0699	Isoniazid-induced protein IniC
JACLCCHO_00376	CDS	561				hypothetical protein
JACLCCHO_00377	CDS	417				hypothetical protein
JACLCCHO_00378	CDS	1464	ansP2		COG1113	L-asparagine permease 2
JACLCCHO_00379	CDS	987				hypothetical protein
JACLCCHO_00380	CDS	654				hypothetical protein
JACLCCHO_00381	CDS	660				hypothetical protein
JACLCCHO_00382	CDS	1878	dnaK_1		COG0443	Chaperone protein DnaK
JACLCCHO_00383	CDS	708	grpE		COG0576	Protein GrpE
JACLCCHO_00384	CDS	1188	dnaJ1		COG0484	Chaperone protein DnaJ 1
JACLCCHO_00385	CDS	105				hypothetical protein
JACLCCHO_00386	CDS	426				hypothetical protein
JACLCCHO_00387	CDS	453				hypothetical protein
JACLCCHO_00388	CDS	279				hypothetical protein
JACLCCHO_00389	CDS	513				hypothetical protein
JACLCCHO_00390	CDS	207				hypothetical protein
JACLCCHO_00391	CDS	372				hypothetical protein
JACLCCHO_00392	CDS	138				hypothetical protein
JACLCCHO_00393	CDS	645				hypothetical protein
JACLCCHO_00394	CDS	1299	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase
JACLCCHO_00395	CDS	648				hypothetical protein
JACLCCHO_00396	CDS	780	rip2		COG1994	Putative zinc metalloprotease Rip2
JACLCCHO_00397	CDS	438				hypothetical protein
JACLCCHO_00398	CDS	828				hypothetical protein
JACLCCHO_00399	CDS	1383			COG2239	Magnesium transporter MgtE
JACLCCHO_00400	CDS	1035	fba	4.1.2.13	COG0191	Fructose-bisphosphate aldolase
JACLCCHO_00401	CDS	684			COG0586	putative membrane protein
JACLCCHO_00402	CDS	1131				hypothetical protein
